avg_years_since_last_promotion,_id.joblevel,_id.attrition,_id.gender,target
1.5,2,1,0,4.833333333333333
3.78,4,0,0,11.98
3.7142857142857135,5,0,0,12.047619047619047
2.5673076923076925,3,0,1,8.365384615384615
3.65,3,1,1,7.7
1.7871287128712872,2,0,0,6.975247524752476
3.583333333333333,3,1,0,12.666666666666666
2.235294117647059,2,1,1,5.470588235294118
7.333333333333333,5,1,0,26.0
1.3424657534246576,1,0,0,4.157534246575342
0.8888888888888888,1,1,1,2.7111111111111112
4.243902439024391,3,0,0,10.597560975609756
1.6037735849056605,1,1,0,3.716981132075472
1.1299212598425197,1,0,1,4.279527559055119
1.9392857142857145,2,0,1,6.871428571428571
7.0,5,1,1,18.0
4.72093023255814,5,0,1,15.744186046511627
0.0,4,1,0,1.0
5.549019607843137,4,0,1,15.509803921568627
10.25,4,1,1,20.25
